UserTags,TimeStamps,Tweets,Replies,Retweets,Likes
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 3",2025-02-03T18:13:36.000Z,"In cases of robbery or harm, communities can invest in alternatives like unarmed crisis response teams, restorative justice programs, and emergency services focused on deescalation and support. For example, in Eugene, Oregon, the CAHOOTS program has handled thousands of mental",27,13,26
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 3",2025-02-03T18:09:56.000Z,"Since they’re in the mood for abolishing federal agencies, let’s discuss abolishing federal law enforcement agencies. Abolition opens the door to real safety and community-led solutions.",30,12,50
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 3",2025-02-03T09:31:04.000Z,Our creativity is our inheritance and our weapon.,13,9,55
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 3",2025-02-03T05:06:38.000Z,"Don't allow don't allow anybody to project any stereotypes on you that tell you that you can't be here, that you're too dark, or that you're not smart enough, or that you're too dramatic, or you're too loud. You are exactly who you need to be. —Doechii",27,66,312
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 1",2025-02-01T02:15:09.000Z,Pay attention,23,98,422
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 1",2025-02-01T01:19:41.000Z,"Given how much time you spend attacking others, it’s hardly surprising you’re now facing the same hostility yourself",9,5,35
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 1",2025-02-01T01:08:50.000Z,"We paint, write, sing, and dance our liberation into existence.",23,17,95
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 1",2025-01-31T21:20:01.000Z,"We don’t jump just because Democrats say so.

For over a decade, we’ve been pushing the Democratic Party—especially our Black leaders—to listen to us. We’ve demanded, organized, and fought for policies that would tangibly improve our communities. Time and again, they have not",15,16,44
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 31",2025-01-31T17:00:25.000Z,"“There’s never been a time where Black liberation has not been connected to art.” 
@Cicley_Gay",2,3,10
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 31",2025-01-31T07:50:50.000Z,"when we say “Black Lives Matter,” we are not asking for a gift.

we are not timidly knocking on the door of the world’s conscience, hoping for a morsel of respect.

we are announcing an unshakable truth:
the suffering in Black communities is not an unfortunate reality. it is the",37,30,118
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 30",2025-01-30T20:30:13.000Z,"When we care for each other, we win.",25,54,197
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 30",2025-01-30T19:06:56.000Z,"JD Vance wants us to believe white people were shut out of the aviation industry because of racial discrimination.

Framing white Americans as victims of systemic racism ignores the reality of a society structured around their advantage.

Next, they’ll tell us gravity is biased",42,68,161
"Democracy Docket
@DemocracyDocket
·
Jan 30",2025-01-30T18:28:18.000Z,"BREAKING: In a victory for voters, New York appeals court overturns a lower court's ruling that struck down the state's Voting Rights Act. More to come.",4,119,358
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 30",2025-01-30T17:18:10.000Z,What a profoundly dumb thing to say.,35,38,218
"Barack Obama
@BarackObama
·
Jan 30",2025-01-30T14:32:21.000Z,"Our hearts break for the families who lost loved ones in the tragic plane and helicopter crash at DCA. Michelle and I send our prayers and condolences to everyone who is mourning today, and we’re grateful to the first responders who are doing everything they can to help under",9.6K,33K,418K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 30",2025-01-30T01:06:29.000Z,"It literally says “Executive Office of the President” at the top.

Are you suggesting that Donald is no longer the president and that someone like… Elon has taken over?",15,8,31
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 27",2025-01-27T03:56:59.000Z,"In other words, her constituents were blowing up her district phones nonstop lol",34,6,47
